Muscle,Muscle_ID,Head_Type,Head_Type_ID,Region,Muscle_Group,Muscle_Subname
Sternocleidiomastoid,001,Sternocleidiomastoid Anterior Fibers,00101,Upper,Neck,
Sternocleidiomastoid,001,Sternocleidiomastoid Anterior Fibers,00101,Upper,Neck,
Sternocleidiomastoid,001,Sternocleidiomastoid Posterior Fibers,00102,Upper,Neck,
Sternocleidiomastoid,001,Sternocleidiomastoid Posterior Fibers,00102,Upper,Neck,
Splenius,002,Cervicis Spenius,00201,Upper,Neck,
Splenius,002,Cervicis Spenius,00201,Upper,Neck,
Splenius,002,Capitis Splenius,00202,Upper,Neck,
Splenius,002,Capitis Splenius,00202,Upper,Neck,
Anterior Deltoid,003,Anterior Deltoid,00301,Upper,Shoulders,Delts
Anterior Deltoid,003,Anterior Deltoid,00301,Upper,Shoulders,Delts
Lateral Deltoid,004,Lateral Deltoid,00401,Upper,Shoulders,Delts
Lateral Deltoid,004,Lateral Deltoid,00401,Upper,Shoulders,Delts
Posterior Deltoid,005,Posterior Deltoid,00501,Upper,Shoulders,Delts
Posterior Deltoid,005,Posterior Deltoid,00501,Upper,Shoulders,Delts
Supraspinatus,006,Supraspinatus,00601,Upper,Shoulders,Delts
Supraspinatus,006,Supraspinatus,00601,Upper,Shoulders,Delts
Triceps Brachii,007,Triceps Brachii Long Head,00701,Upper,Upper Arms,
Triceps Brachii,007,Triceps Brachii Long Head,00701,Upper,Upper Arms,
Triceps Brachii,007,Triceps Brachii Lateral Head,00702,Upper,Upper Arms,
Triceps Brachii,007,Triceps Brachii Lateral Head,00702,Upper,Upper Arms,
Triceps Brachii,007,Triceps Brachii Medial Head,00703,Upper,Upper Arms,
Triceps Brachii,007,Triceps Brachii Medial Head,00703,Upper,Upper Arms,
Biceps Brachii,008,Biceps Brachii Long Head,00801,Upper,Upper Arms,
Biceps Brachii,008,Biceps Brachii Long Head,00801,Upper,Upper Arms,
Biceps Brachii,008,Biceps Brachii Short Head,00802,Upper,Upper Arms,
Biceps Brachii,008,Biceps Brachii Short Head,00802,Upper,Upper Arms,
Brachialis,009,Brachialis,00901,Upper,Upper Arms,
Brachialis,009,Brachialis,00901,Upper,Upper Arms,
Brachioradialis,010,Brachioradialis,01001,Upper,Forearms,
Brachioradialis,010,Brachioradialis,01001,Upper,Forearms,
Wrist Flexors,011,Flexor Digitorum Superficialis,01101,Upper,Forearms,Wrists
Wrist Flexors,011,Flexor Digitorum Superficialis,01101,Upper,Forearms,Wrists
