Muscle,Muscle_ID,Head_Type,Head_Type_ID,Unique_Head,Unique_Head_ID,Chirality_Flag,Model_Reference_Name,Modele_Reference_ID
Sternocleidiomastoid,001,Sternocleidiomastoid Anterior Fibers,00101,Sternocleidiomastoid Anterior Fibers Left,001011,T,Sternocleidomastoid_muscle_left,001
Sternocleidiomastoid,001,Sternocleidiomastoid Anterior Fibers,00101,Sternocleidiomastoid Anterior Fibers Right,001012,T,Sternocleidomastoid_muscle_right,002
Sternocleidiomastoid,001,Sternocleidiomastoid Posterior Fibers,00102,Sternocleidiomastoid Posterior Fibers Left,001021,T,Sternocleidomastoid_muscle_left,003
Sternocleidiomastoid,001,Sternocleidiomastoid Posterior Fibers,00102,Sternocleidiomastoid Posterior Fibers Right,001022,T,Sternoclediomastoid_muscle_right,004
Splenius,002,Cervicis Spenius,00201,Cervicis Spenius Left,002011,T,Splenius_colli_muscle_left,005
Splenius,002,Cervicis Spenius,00201,Cervicis Spenius Right,002012,T,Splenius_colli_muscle_right,006
Splenius,002,Capitis Splenius,00202,Capitis Splenius Left,002021,T,Splenius_capitis_muscle_left,007
Splenius,002,Capitis Splenius,00202,Capitis Splenius Right,002022,T,Splenius_capitis_muscle_right,008
Anterior Deltoid,003,Anterior Deltoid,00301,Anterior Deltoid Left,003011,T,Clavicular_part_of_deltoid_muscle_left,009
Anterior Deltoid,003,Anterior Deltoid,00301,Anterior Deltoid Right,003012,T,Clavicular_part_of_deltoid_muscle_right,010
Lateral Deltoid,004,Lateral Deltoid,00401,Lateral Deltoid Left,004011,T,Acromial_part_of_deltoid_muscle_left,011
Lateral Deltoid,004,Lateral Deltoid,00401,Lateral Deltoid Right,004012,T,Acromial_part_of_deltoid_muscle_right,012
Posterior Deltoid,005,Posterior Deltoid,00501,Posterior Deltoid Left,005011,T,Scapular_spinal_part_of_deltoid_muscle_left,013
Posterior Deltoid,005,Posterior Deltoid,00501,Posterior Deltoid Right,005012,T,Scapular_spinal_part_of_deltoid_muscle_right,014
Supraspinatus,006,Supraspinatus,00601,Supraspinatus Left,006011,T,Supraspinatus_muscle_left,015
Supraspinatus,006,Supraspinatus,00601,Supraspinatus Right,006012,T,Supraspinatus_muscle_right,016
Triceps Brachii,007,Triceps Brachii Long Head,00701,Triceps Brachii Long Head Left,007011,T,Long_head_of_triceps_brachii_left,017
Triceps Brachii,007,Triceps Brachii Long Head,00701,Triceps Brachii Long Head Right,007012,T,Long_head_of_triceps_brachii_right,018
Triceps Brachii,007,Triceps Brachii Lateral Head,00702,Triceps Brachii Lateral Head Left,007021,T,Lateral_head_of_triceps_brachii_left,019
Triceps Brachii,007,Triceps Brachii Lateral Head,00702,Triceps Brachii Lateral Head Right,007022,T,Lateral_head_of_triceps_brachii_right,020
Triceps Brachii,007,Triceps Brachii Medial Head,00703,Triceps Brachii Medial Head Left,007031,T,Medial_head_of_triceps_brachii_left,021
Triceps Brachii,007,Triceps Brachii Medial Head,00703,Triceps Brachii Medial Head Right,007032,T,Medial_head_of_triceps_brachii_right,022
Biceps Brachii,008,Biceps Brachii Long Head,00801,Biceps Brachii Long Head Left,008011,T,Long_head_of_biceps_brachii_left,023
Biceps Brachii,008,Biceps Brachii Long Head,00801,Biceps Brachii Long Head Right,008012,T,Long_head_of_biceps_brachii_right,024
Biceps Brachii,008,Biceps Brachii Short Head,00802,Biceps Brachii Short Head Left,008021,T,Short_head_of_biceps_brachii_left,025
Biceps Brachii,008,Biceps Brachii Short Head,00802,Biceps Brachii Short Head Right,008022,T,Short_head_of_biceps_brachii_right,026
Brachialis,009,Brachialis,00901,Brachialis Left,009011,T,Short_head_of_biceps_brachii_left,027
Brachialis,009,Brachialis,00901,Brachialis Right,009012,T,Short_head_of_biceps_brachii_right,028
Brachioradialis,010,Brachioradialis,01001,Brachioradialis Left,010011,T,Brachioradialis_muscle_left,029
Brachioradialis,010,Brachioradialis,01001,Brachioradialis Right,010012,T,Brachioradialis_muscle_right,030
Wrist Flexors,011,Flexor Digitorum Superficialis,01101,Flexor Digitorum Superficialis Left,011011,T,Humero-ulnar_head_of_flexor_digitorum_superficialis_left,031
Wrist Flexors,011,Flexor Digitorum Superficialis,01101,Flexor Digitorum Superficialis Right,011012,T,Humero-ulnar_head_of_flexor_digitorum_superficialis_right,032
Wrist Flexors,011,Flexor Digitorum Profundus,01102,Flexor Digitorum Profundus Left,011021,T,Flexor_digitorum_profundus_left,033
Wrist Flexors,011,Flexor Digitorum Profundus,01102,Flexor Digitorum Profundus Right,011022,T,Flexor_digitorum_profundus_right,034
Wrist Flexors,011,Flexor Carpi Radialis,01103,Flexor Carpi Radialis Left,011031,T,Flexor_carpi_radialis_left,035
Wrist Flexors,011,Flexor Carpi Radialis,01103,Flexor Carpi Radialis Right,011032,T,Flexor_carpi_radialis_right,036
Wrist Flexors,011,Flexor Carpi Ulnaris,01104,Flexor Carpi Ulnaris Left,011041,T,Ulnar_head_of_flexor_carpi_ulnaris_left,037
Wrist Flexors,011,Flexor Carpi Ulnaris,01104,Flexor Carpi Ulnaris Right,011042,T,Ulnar_head_of_flexor_carpi_ulnaris_right,038
Wrist Flexors,011,Palmaris Longus,01105,Palmaris Longus Left,011051,T,Palmaris_longus_muscle_left,039
Wrist Flexors,011,Palmaris Longus,01105,Palmaris Longus Right,011052,T,Palmaris_longus_muscle_right,040
Wrist Flexors,011,Flexor Pollicis Longus,01106,Flexor Pollicis Longus Left,011061,T,Flexor_pollicis_longus_left,041
Wrist Flexors,011,Flexor Pollicis Longus,01106,Flexor Pollicis Longus Right,011062,T,Flexor_pollicis_longus_right,042
Wrist Extensors,012,Extensor Digitorum,01201,Extensor Digitorum Left,012011,T,Extensor_digitorum_left,043
Wrist Extensors,012,Extensor Digitorum,01201,Extensor Digitorum Right,012012,T,Extensor_digitorum_right,044
Wrist Extensors,012,Extensor Carpi Radialis Longus,01202,Extensor Carpi Radialis Longus Left,012021,T,Extensor_carpi_radialis_longus_left,045
Wrist Extensors,012,Extensor Carpi Radialis Longus,01202,Extensor Carpi Radialis Longus Right,012022,T,Extensor_carpi_radialis_longus_right,046
Wrist Extensors,012,Extensor Carpi Radialis Brevis,01203,Extensor Carpi Radialis Brevis Left,012031,T,Extensor_carpi_radialis_brevis_left,047
Wrist Extensors,012,Extensor Carpi Radialis Brevis,01203,Extensor Carpi Radialis Brevis Right,012032,T,Extensor_carpi_radialis_brevis_right,048
Wrist Extensors,012,Humeral Extensor Carpi Ulnaris,01204,Humeral Extensor Carpi Ulnaris Left,012041,T,Humeral_head_of_extensor_carpi_ulnaris_left,049
Wrist Extensors,012,Humeral Extensor Carpi Ulnaris,01204,Humeral Extensor Carpi Ulnaris Right,012042,T,Humeral_head_of_extensor_carpi_ulnaris_right,050
Wrist Extensors,012,Ulnar Extensor Carpi Ulnaris,01205,Ulnar Extensor Carpi Ulnaris Left,012051,T,Ulnar_head_of_extensor_carpi_ulnaris_left,051
Wrist Extensors,012,Ulnar Extensor Carpi Ulnaris,01205,Ulnar Extensor Carpi Ulnaris Right,012052,T,Ulnar_head_of_extensor_carpi_ulnaris_right,052
Wrist Extensors,012,Extensor Indicis,01206,Extensor Indicis Left,012061,T,Extensor_indicis_left,053
Wrist Extensors,012,Extensor Indicis,01206,Extensor Indicis Right,012062,T,Extensor_indicis_right,054
Wrist Extensors,012,Extensor Digiti Minimi,01207,Extensor Digiti Minimi Left,012071,T,Extensor_digiti_minimi_left,055
Wrist Extensors,012,Extensor Digiti Minimi,01207,Extensor Digiti Minimi Right,012072,T,Extensor_digiti_minimi_right,056
Wrist Extensors,012,Extensor Pollicis Longus,01208,Extensor Pollicis Longus Left,012081,T,Extensor_pollicis_longus_left,057
Wrist Extensors,012,Extensor Pollicis Longus,01208,Extensor Pollicis Longus Right,012082,T,Extensor_pollicis_longus_right,058
Wrist Extensors,012,Extensor Pollicis Brevis,01209,Extensor Pollicis Brevis Left,012091,T,Extensor_pollicis_brevis_left,059
Wrist Extensors,012,Extensor Pollicis Brevis,01209,Extensor Pollicis Brevis Right,012092,T,Extensor_pollicis_brevis_right,060
Pronator Teres,013,Pronator Teres Humeral Pronator,01301,Pronator Teres Humeral Pronator Left,013011,T,Superficial_head_of_pronator_teres_left,061
Pronator Teres,013,Pronator Teres Humeral Pronator,01301,Pronator Teres Humeral Pronator Right,013012,T,Superficial_head_of_pronator_teres_right,062
Pronator Teres,013,Pronator Teres Ulnar Pronator ,01302,Pronator Teres Ulnar Pronator  Left,013021,T,Deep_head_of_pronator_teres_left,063
Pronator Teres,013,Pronator Teres Ulnar Pronator ,01302,Pronator Teres Ulnar Pronator  Right,013022,T,Deep_head_of_pronator_teres_right,064
Supinators,014,Pronator Teres Humeral Supinator,01401,Pronator Teres Humeral Supinator Left,014011,T,Supinator_left,065
Supinators,014,Pronator Teres Humeral Supinator,01401,Pronator Teres Humeral Supinator Right,014012,T,Supinator_right,066
